text	label
please kayi zamanka acan sakon allah wadaran maci gaba da yima 	negative
sabuda wassu kishiyoyin basuda respect 	negative
gaskia director ka bata wahala wannan syy haka ba mahmoud ya dace da haka ba 	negative
atiku is now maraya allah mai iko	negative
the nigerian supreme court has now been converted into an almajiri circuit court what a disgrace mbuhari	negative
innalillahi wainna ilaihirrajiun  el~rufai kaine da wannan maganar lallae kun bani mamaki muje zuwa akwai allah wlh bazaku ta6ajin rayuwar duniya ba in har baku sauke nauyin alkawarin da kuka daukawa talakawa ba don tun wuri ku dawo garemu	negative
when  they want to lie they should know that we are all not shoe shiners almajiri or mai tea	negative
in dun million 5 shegiya zaa samomaka ita	negative
national assembly yan buqulu mutsaya alayin zabe acikin awa biyu muzabeku kuje kuna diban miliyoyi kudimuda mukaje jamia mukayi shekara 5 zuwa 6 ga aikin bautar kasa jaha zuwa jaha akan 33000 kacal amma saida kuka samana ido to wallahi allah ya fiku 	negative
to da mai zaiyi bayan wannan tinda an riga da ankarsuku kuma dan hauka sai damun mu kuke da posting na kisa nonsense 	negative
pls n pls sadau din nan kanwar uwar wani ne a app dinnan neku barta tayi abun da taga shine daidai idan taje can ta hadu da mahaliccin takowa yaje yaji a nasa zunuban pls haba ba dama mutum ya bude twitter sai ya ga mgna akanta haba wlh am so anoyyed	negative
nan gaba mutuwa akayi a gidan mutum sai ya boys haraji	negative
the vp debate tonight in nigeria was a choreograped show of two failed political entities allah ya taimaki yan nigeria	negative
it seems today is the first time buhari is feeling the heat ai gara	negative
it  s apparent these guys ain  t intelligent enough mutanen banza kawai	negative
dan allah kuyi hakuri ku kyale talakawa haka  domin duk lokacin dakaji gwamnatin nigeria tace zata taimaki talaka karya ne kawai wani salon sata ne  inso ake ataimaki talaka kawai a sakko da farashin fuel da kayan masarufi awadata asibitoci da magani ai masa hanya 	negative
saidai life in prison amman wannna magana taka babu dadin ji kuma bama goyon bayan maganarka 	negative
wato idan yan bandits sunzo sai mu haye bishiyoyinko koh kuma mu labe abayan bishiyoyin koh  toh ka tuna itafa bindiga babu ruwanta da bashiya koina zuwa take koh ka manta training dinka na military ne	negative
easy mana wai tsiya ce 	negative
wahala de for this country	negative
toh ai shi karamin akuya ne baby 	negative
gandun bacci  gandun dollar	negative
zamu sa adaina haska film dinki akano saboda baki da tarbiya bakuma kyajin kunyar allah da manzonsa kokadan kin biyewa duniya to wlh kituba kibi ahankali duniya abar tsorece amma fa gamai hankali atarihin duniya babu wanda yatsula tsiya baitubaba karshensa yayi kyau	negative
alaji zapin aljihu ae ba wasa shi kadae ya ishe ta bacewa kuma dama can propaganda ne 	negative
bama goyon bayan soke lefe muna son a cigaba dayi kamar yadda iyaye da kakanni sukayi a baya kawai some stingy guys ne suke son a soke amma menene idan kayi mata tamalalo turmi 20 it only 20k fa 	negative
bone ya debo muku ruwamy kd people kun debo ruwan dafa kanku	negative
kina iskanci san ranki plx indai zaki burgeni ki curo nonon ki daya 1 plx i wan see somtin 	negative
gayama su dai xasu shigo nou camp a nan ne xasu yi bayani 	negative
oga renoomokkri  i guess if baba 4 4 can be cloned anything is possible right the jibril of sudan story makes everything possible abi	negative
alhaji atiku should know that he has failed   whether it is apc pdp or any other political party   it will be a total shit	negative
atiku to baba buhari you cannot rig this election	negative
shifa jindadi ba munafiki bane wai yanxu fatima ce haka my nursery schoolmate  	negative
he will stay in that custody forever insha allah tsuntsun da yaja ruwa shi ruwa ke jibga	negative
wllh so bad musamman liverpool fans	negative
tsakanin mu da ke sai allah ya isa kawaidun da baki saka wa ennan hotunan ba tun farko da hakan bata faru ba kuma ma kukan me zaki zo nan kinayi me yasa bakiyi tunani tun kafin ki saka su ba a dole ke kin waye ke ga celebrity a zindir allah ya isar mana wlh 	negative
kuna pretending kaman saint while duk cin ku ake yayan iska kawai kuje kuyi aure yafi ye muku wannan yawon banzan 	negative
ke ina ruwan ki  ba harkar film bane ba	negative
banza a banza kare a gudun layya ina ruwansa da almajiranci idan yana so sai ya kaisu can imo state din	negative
election results were written in favor of the highest bidder   with inec officials serving as accomplices in the worst case karyan banza	negative
ai koh kayi karyah kaikeh da uban gida kuwa a hausa film kuma adamu zango na cikin uban nin gidanka watau an zama star a manta da baya 	negative
82 years fa africa a kwai azalumai masu sun mulki 	negative
daman yazo a constitution cewar idan zaaje gobe sai nafadamaka sojoji to idan munkine firauna mah yyi kuma yamutu balleku kowamah sai yamutu kuma wlh kusani talakawa sunada hakki akanku akwai hisabi tsakaninku tunda kune shuwagabannin su 	negative
so buhari now tweet unofficial stuff   na waaaaa       how low can you guys go  with this baba	negative
hakuri neh koh toh munyi amma dan allah  shima yayi hakuri yayi resign daga shugabancin nan dan shima ya gaza dashi da governor katsina	negative
my first concern is why is it a foreigner moderating the debate in nigeria ko har yanzun muna mulkin mallaka ne	negative
you guys botched what should have been a smooth process and lost the momentum because of it  siyasar bana	negative
oh sadau king of ugly sai kace aljana	negative
rest in fire  don uwarsa	negative
who do we vote now black pot or black kettle ba cinya ba kafar baya	negative
shut upduk baku ga matsala da kuke ta kwafsawa ba sai a ballkai malamai wai jira ma mi ya hada ku da ball na turai nace ku a nigeria  bah	negative
kwananan  very soon pmb will relocate capital from abuja to lagos	negative
toh ai wannan iskanci ne ma da rashin sanin darajar kudi kai imagine fa 	negative
till jaki do qaho	negative
dan kutumar ubanku idan baku da abun fada kuyi deactivate din account dinku bamason hauka	negative
sannu goggo goshi bender allah ya isa ai daman da be isa ba bazaayi kiba kije chan ki sami wanda yayi mata video din ko wanda yayi releasing kici mishimuso allah ya isa mana kya wani zo nan twitter toh da uban wa kike	negative
allah sarki buhari wlh yanama da hakuri sosai ba ma su kawo kasa tangarda irin yan majalissa da antabasu sai suce ai suna da karfin iko kuma constitution yabasu dama tir da ku yan majalisa	negative
wasu yan arewa kenan jahilci ya mamaye zuqatanmushiyasa nasara bata zuwa mana yakamata a rika girmama celebrities kodan daukakar da allah yabasu amma mutane koda wasa basa girmamawa suna gani kamar gayan kowace kalan magana ga celerity wani burgewane	negative
gaskiya kina bukatar addua wallahi nisa allah a ranki wannan zubarwa da da hausawa kike mutumcinsu tabbas wannan hotunan basu dace kiyi sharing ba shin zakiso a dunga posting din irin wannan pictures din idan kin mutu aunty please delete it 	negative
pdp alhaji atiku no wonder somenone ran to climate change summit even before it started	negative
i think so and he gather and rally support from industry munafukan sai supporting dinshi sukeyi saboda ita bata da uwa da uba a industry	negative
daman tunda buhari ya hau ake kasafi babu talakan dayasan ana wani budget en sun gadama ma kar ayi budget din shafinsu 	negative
atikulooters are also almajiri people atikuobi	negative
bama dole mutum ya dawo ba ko kuma anty corona ta turashi graveyard 	negative
apc federal government has no meaningful projects on ground in rivers state sai atikuobi	negative
dear profosinbajo when an office is too big for you  you complain that four years is too small  yanzun kuma kana san tazarce	negative
remind me of the kwankwaso votes again in the pdp presidential primaries because it baffles me why alhaji kwankwaso has no supporters	negative
more than before  jaki da doki zamuyi wasa da su	negative
kutumar uba ba girman ki bane ashar find another instead	negative
zamu basu kashi up up  	negative
da maganan guy din nan da haqin sigari duk daya suke sbd duk iska zasu bi 	negative
yooo rahama akwae matsala katuwa kuwa aradu kinga anyi barce vs bayern 8pm akaci barce 18 yau kuma kasa wasa 3pm akaci barce 31 matsalar itace duk ranar da akace xasuyi match 10pm 	negative
wnan cheat ne fah sai baku sa lagos ba 	negative
ta fito da shisha ta zuba flavour ta hada shisha ta zuba ruwa ta kunna coal ta dora duk ba wanda ya mata magana saboda jirgin makafi ne ko	negative
whats with this girl da azumin nan 	negative
lols wannan ai yaci uwar difficult times	negative
tallar da kuke sawa wadda shehu hassan yayi ta corona tana bamu haushi inda yake tambayar yar shi wae taba zuwa lahira kuma ta yi imani like seriously duk musulmin kwara be kamata yayi irin wannan tambayar bakuna hada perfection din annabi with this shit	negative
wannan bakin labari ne wallahi  yara sama da 500 an kwashe amma shiru ba labari daga gwamnati akan cetosusai kace yayan kajini wallahi nigeria ta fita a kainawe have no hope left towards our leaders we are doomed 	negative
ya allah governor nasiru elrufai ya kuntata mana allah kana gani ya rabbi ka tsananta masa duniya da lahira	negative
a duk lokacin da kakeso ka gano matsala akan wani toh tabbas ka shiga inda dole wataran sai an gani maaurata ba yara bane this is stupidity 	negative
ai bawai yau kika fara babanza ma irinki kawai  ni daman wlhy yan film basu taba birgeni bama bawai abin mamaki bne dan kinyi haka wlhyy nikam banga laifinki bah zakici ubanki kuwa rana gobe qiyama ai	negative
i said this sakarkaru sunyi yawa this days	negative
wannan shine taken next level allah ya rabamu da shiga inconclusive	negative
hajiya go carry gun fight bandit kinji	negative
yan maula saiyabonki suketa yi nonsense	negative
president buhari and ex vice president atiku didn’t show up for the presidential debate though you guys should know what the 2 babas are doing	negative
are you sure you are referring to pmb or jibril of sudan  baba till 2023	negative
yesterday   we joined other citizens on the streets of nigeria to mourn the death of hauwaliman  allah ya jikan ki	negative
ana kace mutane a oyo state kana magana korona  killing northerners	negative
atiku that kweshon hard for baba   you may have to wait longer than anticipated   justsaying	negative
daman dasu allah ke shawara idan zai fito da watan nonsense kawai	negative
kuma nan gaba ake sakama ball din iska wannan cin mutuncin ball ne	negative
wlh kuji tsoron gamuwar da mahalicci  banzaye makiya allah kawai baku san zaman lafiya babu yan taaddan gidan labarai sama da this fucking 	negative
gaskia akwai lauje cikin nadi wannan duk bazai wuce politics ba kuma bazai rasa alaqa da tallafin kudi da gwamnatin kano ta nema ba ga gwamnatin garayya nidai ban tabajin inda aka fara gwajin covid ba kuma aka dakatar sai a kano this is very bad wallahi	negative
bura uba  gaskia ancuci princess	negative
shikenan you tahanashi bacci 	negative
ga abinda talakawanka suka fi bukata nan ba wannan bah ka tuna talakawa na cikin mawuyacin hali a kasarka end sars end north banditry  ka duba halin da talakan ka yake ciki	negative
kiyi masa reply in hindi since dama bamu ganeba amma mu sakalemu kikayi	negative
yo doka nawa aka karya a nigeria yanzu hakama ita nake sha  catch me if you can	negative
do you realise buhari is the only baba don’t call any person baba again	negative
wasu yan arewa kenan jahilci ya mamaye zuqatanmushiyasa nasara bata zuwa mana yakamata a rika girmama celebrities kodan daukakar da allah yabasu amma mutane koda wasa basa girmamawa suna gani kamar gayan kowace kalan magana ga celerity wani burgewane	negative
abba zama gida dole according to the hausa singer  rara 	negative
 tab din lallai fa akwai mastalla wlh what increase the price of brd hey wahala the oooh for poor man	negative
 huh a matsayinka na shugaba da kanka ke wannan kalamin allah yy wadaran naka ya lalace please northerners we have to rise diz motion wallahi idan kana tunanin wannan abun bai shafekaba wata rana zai iya shafarka sbd duk lkcn da suka gama dasu kaima kanka zasu dawo	negative
ana batun kidnappers su kuma su na wai abasu kuđi to kenan ma kansu suka sani basata talakawa 	negative
lahaula wala kuwata illa billah	negative
this nigeria wahala dey i swear 	negative
devils su fuskanci hukunci mai tsanani yaro dan shekara 5 	negative
wai yar musulmi ce take fitowa hausa fulani take kiran kalma irin wanann a media hakayanzu dan allah ina tarbiyyah anankana ganin yadda sukai magana kasan cewa an sauka dga tsarin addinibut he who know nor no go know sha	negative
tallar da kuke sawa wadda shehu hassan yayi ta corona tana bamu haushi inda yake tambayar yar shi wae taba zuwa lahira kuma ta yi imani like seriously duk musulmin kwara be kamata yayi irin wannan tambayar bakuna hada perfection din annabi with this shit	negative
we all have our dirty secrets escalating once fault doesnt help her or we wlh if u went through boko 75 of us mazinata ne in one way or the other kabarinta daban namu daban mu gyara namu mu barta da nata habaaa	negative
the nigerian presidential debate showed one major things that baba is the president by proxy	negative
stupidity is when you vow u wont give alms to almajiri because they  re pmb  s people but you send money to atiku gofundme	negative
daga baya kenan tusane ya qarewa bodari kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro u cant undo what has happened girl cuz u created the chance emmm sorry bby	negative
maukata ne kawai akatara akasan nan abinda ke damun mutane daban abinda sukeyi daban  its very unfortunate wlhy	negative
saboda they are not to standardshirme kawai sukeyisu basu tsaya sunyi film akan addini ko aladar mu basun tsaya copy dn na turawa da indiacopy dn ma to basu iya ba	negative
wannan ba karamin rashin hankali bane shikenan idan kun lalata gaunati zata gyara amma fa ba nan kusa ba kuma da kudin ku zaa gyara nonsense n ingredients 	negative
cewa zakuyi kawai ya fita daka musulunci yan kutmar uba  dole ma nayi unfollow din ku tinda baku da wani tinani	negative
wannan zanchan garyane ba gaskiya bane ta ina suka fita ohh ashe jami yan tsaro basa aikinsu tinda munsan an rufe ko ina daga niger har nigeria  sorryn ku bbc	negative
bolux enforcing her freedom of speech on profosinbajo now if that is what you classify as criticism by a public servant wahala de worry  her abeg	negative
ai wlh sun kyauta inba iskanci ba wani wai sex party	negative
wane irin cibiyoyin corona this government should open our schools na bi corona da gudu na kwala mata sanda	negative
hahaha  wallahi federal government kunya sukeji dama shiyasa basu bude ba yanxu kuma sunga babu sarki sai allah 	negative
watched vice presidential debate am so upset where are our women  common we can do better mata kada abarmu a baya	negative
ana tsiya a nigeria wannan shine powered by ammasco lubricant	negative
meri jaan ya naga ring kuma ne wani yawale sarkin sauri ya rigani proposing ne 	negative
duk masu tura kudin nan yan asara nw wlh inda zaka duba matansu da yan matansu ma basu samu hakan ba yanzu maza da mace tayi demand zakaji sunce wai ta cika roko amma ga gardin kato yayi musu rokon kuma sun bashi don asara	negative
boko haram killed 44 soldiers   farmers in fresh attack   the defeated   degraded boko haram according officialapcng siyasar bana	negative
bbbc hausa da wulakanci kuke meye kuma wani waje road	negative
the vp debate was the first time osinabjo felt the heat ai gara	negative
rufai ba mutumin arziki bane wea primary certificate	negative
kadanma kenan ba dai legalising alcohol dakuma unmarried couple living together ba 	negative
yan duniya knan ay dama mun san ba alumma ce a gabanku ba duniya ce da kuma dollars 	negative
wnn minti daya naku ya sauya kuma bama da raayin cnja domin so muke mu markade su shi da a wnn next level din	negative
hhhh munanan da sauran mu baza su iya kwashemu all ba	negative
nigerias problem is bigger than atiku and baba	negative
with loads of evidence littering everywhere   why is oshiomole still walking freely without interference from efcc  ko yafi sauran ne	negative
after saying he cant wait for the presidential debate amma yanzun kuma yana inda inda	negative
yasin qarya yake he wont do anything 	negative
hhhh ok allh xasuyiwa wayo kenan to su hana shiga addinin gaba daya mana suga me zai faru	negative
mtwsss meh aka min  ba wani independence ah koma school kawai	negative
hhhh to amma dae wnn yaron tun yna cikin mamanshi ya gama primary ba 	negative
woah   woah   woah  that s too much economics for me man nifa ban iya wanga lissafi ba	negative
kai kaga wani late comer da rainin wayo a idon jamaa snatching a filin allah 	negative
to auzu billah babu wani zancen cututtuka aure aure ne saidae kawai daman can bakwason junanku ko kuma dangin amarya basason ango ko kuma dangin amarya basason amarya amma indai kuna son junanku kuma dangi baku da matsala dasu babu zancen cututtuka 	negative
rahama sadau dama kinyi ne don kijawowa kanki zagi surutai da muggan kalamai ko kuma don hoton yayita trending toh kinyi kuma kinsamu abunda kikeso abun bakinciki agunmu shine taba martabar mazon allah salallahu alaihi wasallam  	negative
kina ruwa na battery	negative
dan allah wai wanne irin asaline wanda agga south africa da har zaisa ta rinka wulakanta wadansu kasashen africa tambaya dagga surajo chairman yarabba jahar sokoto nigeria 	negative
you will explain the day you find yourself in your grave i dont know yadda kuke tunani koh tsoron allah bakwa ji sai kace babu gwamnati a kasa 	negative
we have multiple case of suicide and depression under apc  baba	negative
ina mazan other states na lagos dai gashi ah na lakada musu duka 	negative
rahama sadau dama kinyi ne don kijawowa kanki zagi surutai da muggan kalamai ko kuma don hoton yayita trending toh kinyi kuma kinsamu abunda kikeso abun bakinciki agunmu shine taba martabar mazon allah salallahu alaihi wasallam  	negative
wannan ae aikin banza ne they should have send the cash to each nigerian through bank  account amma yanzu kam ae ta lashe yasin baza su bamu bah	negative
allah sarki destiny kenan haka allah yaso kota wani haline zai koma mulki 4years ai kaman yaune	negative
suhanallah harin bama bamai ya kashe mutane 44 a jos	negative
aikin mu kenan sai dai ayi ta nuna mana kasashen da suka ci gaba muna commentsamma mu kullum daga ace boko haram ta kashe mutane sai ace yan garkuwa suna neman kudin fansa sai kaji yan fashi sun harbe mutum kaza sun tafi da dukiyoyin suhaba shugabannin arewa meke faruwa ne	negative
how can the vp goes to the debate unprepared did he think is a ajoke or it is babas decision	negative
mazugal kuma fa hakane tunda alummar nigeria ma million 200 ne kenan yawanmu yawan cuttukan da hancinmu yake dauka prof zulqifulu	negative
dan uwarki wane zai sa sai ki canza mai ko tin da kece mr president in wawaiya kawai baki ki shin ka sarki dabba dake mtww	negative
kut 10k wallahi ni ko kyauta bazan zauna na kalleta ba kuma mgn charity to help poor muma muna dasu a unguwan mu ba sai na bayar ta hannun ta ba shashanci kawai	negative
shegiya sadau shikenan bazaki shigawar maryam booth fada bah  dey talk say duk kannywood kinfi su iya cima twitter uwa	negative
tunda aka samu wani beran  ya sace mun littafin magana jari na muna primary school shi kenan ya mun delete all duk na manta labaran	negative
wai yan shia sun maku kashi a kan gado ne wallahi kuna son kai kuna tautaunawa da malamai kalakala amma banda yan shia gaskiya na kusa nayi unfollowing dinku ko dai gwamnati kuke wa aiki 	negative
kaji dan iska abunda ya dameshi mtswwwww rubbish heartless people	negative
in sha allah the next state da zaije sai an jefe shi	negative
baba buhari  mbuhari ngrpresident    that s the inept   corrupt   ethnic bigot   dictator   tyrant   genocidal maniac	negative
tau ganiga wane ya ishi wane tsoron allah natabbata shes doing something wrong thats why she was exposed am not happy rather than sad  allah tsayannan sauran mata kukama kanku	negative
tambaya harta shirme gabadaya bbc bakusan aikinkuba wlh ba abunda kuke sai hauka da shirme meya damemu da sanda tafara film talakawa suna cikin wani hali baku iya yadawa amma kuna iya yada shirme	negative
no functional brain is with baba shebi una dey see am	negative
hahahaha this man will not kill me bakin ciki da hassada ke damunsa wanda ya wuce ya wuce forever pls obey kowa ya yabi	negative
even waƴanda basu da aure yana kawo saɓani tsakanin masoya  yanuwa ana kiyayewa 	negative
nigeria baa dauki ran talaka abakin komaibakazudda jini ayafema kasaci akuya kashekara 5 a sanqame very sad wlh 	negative
imagine none muslim is doing muslims job where our masu kudi ina su aminu dogo suke sede kwarewa wajen toshe wa talakawa hanyar cin abinci 	negative
batun bandits kidnapping da ya damemu a areawa cin nigeria 	negative
gaskiya now we no dey together 	negative
basu iya komae bne wawayen home and away aka musu	negative
shikenan nigeria ta qare cronaviros biyu ta hadu ga baba jibirin ga crnvrs we don died ooo	negative
saboda kin jinin mutanen southern kaduna a fili da yake yi in an bibiya a makarantan coci ya soma karatunsa 	negative
yana bawa lawyers din da judge dollars shikenan zamuji shiru nigeria jagajaga 	negative
if the nigerian presidential debate don’t hold then we all shouldn’t have to vote rainin sense kawai	negative
gaskia wlh aa wann ae rashin zucia ne please ni sonake ma a raba ta kwarata sumayya da muhamud sbd din yayi yawa har tafara bani haushi wlhi nama kusa dena kallo 	negative
sai ayi masa castration kawai bazai kara aure 	negative
i hear that the kano state governor govumarganduje   is launching a mobile banking app called babbbanrigabanking	negative
the annoying thing shine actress din hausa films suna daukan kansu su wasu ne a kasar nani hate that	negative
why was saraki not among the people who protested to inec office   i hope it is not what i  m thinking fa	negative
inna lillah wa inna ilaihi rajioon an maida yan nigeria wawaye wallahi allah ya isa elrufai fa yafi karfin ku wani abun ma sai nan gaba in ya zama shugaban kasa duk inda zaayi gyara dama sai an wahala wannan bawan allahan yana son gyara ne	negative
yau social media ta mata rana kenan ku chasu arna ku chasu ku chasu ba mai raba ku	negative
wahala for who dey single wallahi 	negative
dan uwarki wane zai sa sai ki canza mai ko tin da kece mr president in wawaiya kawai baki ki shin ka sarki dabba dake mtww	negative
read again dakiki its not good for our system	negative
to abin nema ya samu bari mu tafi mu yada rumors 	negative
kukuma bbc saboda kuna asshibabbi harda wani yin posting towakuke fadama kullum cikin daurin aure ake amma bakutaba posting ba sai wannan saboda kicihi mubabu ruwanmu badaurin aurensune damuwarmuba kudinga fadamasu halinda yan qasa sukeciki baabunda yadamemu da aurensu	negative
kaii wato indai bakada kyau faa babu wani makeup da zai iya boye munin nan	negative
pls fada musu again yan iska  lokacin da yan boko haram suka samu a gaba basuce komai haka muma bazamu goyi bayan yan iska ba	negative
in banda sankai why haven  t they started impeachment proceedings on ortom   who gleefully told the world that benue people will vote overwhelmely	negative
instead of all this stupidity  your mates yanzu suna gidan miji aure in anyi magana kuche ai aure nuhin allah na tho ko cikin fans dinki babu mai iya aurenki balle wanda zaki biya ya aureki repent	negative
yar shegiya you see what your stupidity cause yar tsinan niya akwai wanda sunfiki iskanci a duniya amma basuxo social media sunyi ba wlh yadda natsaneki yanxu ban tsani buhari ba wlh shegiya mai katon baki 	negative
mtws kai im speechless abunda kowa yasan qaryane	negative
the audacity bayan sallah sai kace bikin kanin ubanku 	negative
karyar banza zama da madaukin kanwa don haka kaima dan uwan dan liti ne 100  don haka keep quiet bamason shawararka 	negative
hannun ka mau sanda aka masa kuma nabar apc fitt wallahi  saidai pdp  ai inda hope na kashe dan nigeria  da akan buhari duk mun mutu kuma wallahi kowa buhari yatsayar ba ruwana dashi bare na zabeshi saidai in ubaana ne nankam 	negative
lol haka zalika fitsararriya matar fitsararre ce ba 	negative
wasukamma basusan meye enghausa ba amma kaman dole sai sunyi comment reply ba maana ana gabar kana yamma see yu	negative
pls fada musu again yan iska  lokacin da yan boko haram suka samu a gaba basuce komai haka muma bazamu goyi bayan yan iska ba	negative
apc hired crowd jobless almajiri northerners	negative
abeg suyi su dawo abi sai mun hada da protest	negative
you  re nothing but a dumb asshole and empty headed fellow if you still believe baba and apcnigeria are clean	negative
uwar me zaayi da ita 82trillion din	negative
